id,title,reason
119972735,"Инженер научно-исследовательского отдела, лаборант",No skills listed
120296038,Помощник лаборанта,No skills listed
120066032,Лаборант,No skills listed
118309127,Рентген-лаборант,No skills listed
119551511,Лаборант в Ветеринарную лабораторию,No skills listed
120207111,Фельдшер-лаборант,No skills listed
120221401,Инженер-химик на пищевое производство,No skills listed
119680477,Лаборант,No skills listed
120056646,Лаборант (питательные среды),No skills listed
120161944,Лаборант,No skills listed
119756229,Техник-лаборант,No skills listed
119617891,Рентген-лаборант,No skills listed
119911041,Рентген-лаборант,No skills listed
118193709,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
119551686,Помощник технолога/лаборант/начинающий специалист,No skills listed
120286622,Портной-лаборант в бренд одежды ALL WE NEED,No skills listed
119920009,Ведущий инженер (инженер),No skills listed
120092760,Лаборант,No skills listed
119522865,Лаборант,No skills listed
120321264,Лаборант,No skills listed
112600592,Лаборант химического анализа 4 разряда (Тюменский нефтеперерабатывающий завод),No skills listed
119894453,Лаборант,No skills listed
120306932,Лаборант,No skills listed
119866907,Лаборант (отдел пробоподготовки),No skills listed
119549592,Ведущий инженер-лаборант в грунтовую лабораторию,No skills listed
120193805,Лаборант 5 разряда группы водно-химического режима,No skills listed
120208484,Лаборант,No skills listed
120019676,Лаборант химического анализа 4 разряда,No skills listed
119486389,Лаборант/ассистент на производство,No skills listed
117967401,Лаборант,No skills listed
118455886,Лаборант химического анализа,No skills listed
120283216,Лаборант,No skills listed
120049708,Лаборант (Химик),No skills listed
120350358,Технолог,No skills listed
118220564,Лаборант 3 разряда,No skills listed
118904047,Лаборант,No skills listed
119832707,Мойщик / Стерилизаторщик ампул и химической посуды в лаборатории,No skills listed
111501450,Лаборант химического анализа,No skills listed
120039108,Инженер-лаборант строительной лаборатории,No skills listed
119263797,Лаборант на производство,No skills listed
120055864,Лаборант на бетонный завод,No skills listed
120200656,Лаборант-химик на пищевое производство,No skills listed
120259143,Лаборант химического анализа,No skills listed
120274502,Лаборант химического анализа,No skills listed
119560497,Лаборант,No skills listed
119937622,Лаборант,No skills listed
120275698,Химик-лаборант 5 разряда,No skills listed
119533924,Лаборант,No skills listed
119758929,Контролер ОТК / Лаборант химического анализа,No skills listed
110742437,Лаборант-коллектор,No skills listed
119891651,Лаборант химического анализа,No skills listed
120079770,Лаборант санитарно-гигиенической (химической) лаборатории,No skills listed
120087001,Техник-лаборант,No skills listed
119902145,Лаборант химического анализа,No skills listed
120261857,Швея/портной/лаборант,No skills listed
120101967,Инженер-лаборант,No skills listed
120120701,Химик-лаборант,No skills listed
120275772,Рентген-лаборант КТ/МРТ,No skills listed
120292696,Лаборант химического анализа,No skills listed
120292697,Лаборант химического анализа,No skills listed
119937339,Лаборант,No skills listed
119903499,Контролер отдел контроля качества/Лаборант,No skills listed
119951052,Специалист по качеству,No skills listed
120075868,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
119944801,Лаборант,No skills listed
119965801,Лаборант на производство,No skills listed
120064355,Инженер - лаборант в строительную лабораторию,No skills listed
120289496,Биолог КДЛ/Врач-лаборант,No skills listed
118538124,Инженер лаборант строительной лаборатории 15/15,No skills listed
118775401,Помощник лаборанта,No skills listed
119708415,Лаборант в отдел фармацевтического анализа,No skills listed
120345454,Рентген-лаборант,No skills listed
120007830,Лаборант химического анализа,No skills listed
120264165,Лаборант на производство,No skills listed
118222183,Техник-лаборант,No skills listed
120276823,Контролер ОТК/Лаборант,No skills listed
119111671,Лаборант,No skills listed
120037529,Лаборант в строительную лабораторию,No skills listed
107319721,Инженер-лаборант/контролер ОТК,No skills listed
119381173,Лаборант,No skills listed
120294123,Лаборант,No skills listed
120263855,Лаборант (Мурманская область),No skills listed
118615105,Лаборант,No skills listed
119510828,Лаборант КДЛ,No skills listed
119875504,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
120297237,Фельдшер-лаборант/медицинский лабораторный техник (г. Геленджик),No skills listed
108444995,Лаборант производства бактерийных препаратов,No skills listed
111818634,Лаборант химического анализа,No skills listed
118183067,Техник-лаборант,No skills listed
120243770,Лаборант химического анализа на ТЭЦ,No skills listed
118412828,"Лаборант в лабораторию ветеринарно-санитарной экспертизы (САО, СЗАО)",No skills listed
120044757,Инженер-химик / лаборант хим.анализа (подработка),No skills listed
120297234,Фельдшер-лаборант/медицинский лабораторный техник (г. Геленджик),No skills listed
119686062,Лаборант чистой зоны,No skills listed
96056287,Лаборант-контролёр,No skills listed
120226827,Регистратор клинической лаборатории,No skills listed
120151084,Лаборант молочного направления,No skills listed
118415184,Инженер-лаборант на Биотехнологическое производство (район ЮЗ),No skills listed
119599005,Директор по качеству,No skills listed
119853180,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
117685042,Инженер-лаборант в лабораторию ПЦР,No skills listed
120166793,Лаборант пробирного анализа,No skills listed
119615398,Медицинская сестра/Медицинский брат/фельдшер-лаборант,No skills listed
120203002,Лаборант,No skills listed
93579949,Контролер лаборант,No skills listed
119873477,Лаборант,No skills listed
120336965,Лаборант отчистных сооружений,No skills listed
119371549,Технолог-лаборант,No skills listed
119953728,Лаборант-техник,No skills listed
119909358,Медицинская сестра/Медицинский брат,No skills listed
117944834,Лаборант химического анализа,No skills listed
115680551,Лаборант микробиологической лаборатории,No skills listed
118437136,Лаборант,No skills listed
120327720,Рентген-лаборант,No skills listed
119732717,Фельдшер-лаборант,No skills listed
120180783,Лаборант химического анализа,No skills listed
119675180,Инженер-лаборант,No skills listed
119492044,Инженер-лаборант Лаборатория охраны окружающей среды,No skills listed
120282969,Инженер строительной лаборатории,No skills listed
120110712,Техник-лаборант,No skills listed
119223327,Химик - лаборант,No skills listed
119500732,Лаборант микробиологической лаборатории,No skills listed
119784854,Лаборант на бетонный завод,No skills listed
119234077,Лаборант,No skills listed
120198879,Рентген-лаборант,No skills listed
118455215,Лаборант химического анализа,No skills listed
118506985,Лаборант,No skills listed
120122971,Рентген-лаборант,No skills listed
120276768,Научный сотрудник (сельскохозяйственная энтомология) ​​​​​​​,No skills listed
119223821,Начинающий специалист,No skills listed
119475812,Лаборант химического анализа,No skills listed
119910182,Лаборант-химик,No skills listed
119546049,Лаборант в ПЦР лабораторию,No skills listed
120078550,Лаборант в службу главного технолога,No skills listed
120038024,Химик-лаборант,No skills listed
120336077,Техник-лаборант,No skills listed
119960570,Лаборант в микробиологическую лабораторию,No skills listed
119036448,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
120252883,Инженер-лаборант в строительную лабораторию,No skills listed
119679812,Лаборант-исследователь,No skills listed
117498644,Лаборант,No skills listed
119691372,Лаборант,No skills listed
120226740,"Медицинский лабораторный техник (фельдшер-лаборант, лаборант)",No skills listed
118829593,Лаборант-испытатель высоковольтного оборудования,No skills listed
119763942,Инженер-химик отдела контроля качества сырья и продукции,No skills listed
120263988,Лаборант клинической лаборатории,No skills listed
119529903,Лаборант химического анализа 4 разряда Отдела наладки,No skills listed
119899347,Лаборант химического анализа,No skills listed
119979888,Инженер-технолог (Лаборант),No skills listed
120316071,Лаборант химического анализа,No skills listed
120009265,Лаборант-приемщик (Администратор),No skills listed
120107592,Ведущий инженер-лаборант,No skills listed
91608150,Лаборант химического анализа,No skills listed
108050126,Рентгенолаборант,No skills listed
119545999,Лаборант-химик,No skills listed
118078023,Инженер-лаборант,No skills listed
119779712,Инженер-лаборант,No skills listed
120108560,Лаборант-технолог,No skills listed
120114990,Лаборант,No skills listed
119490909,Лаборант - контролёр (крейда),No skills listed
119488469,Лаборант,No skills listed
120034329,Лаборант (контролер) ОТК,No skills listed
119118966,Приготовитель растворов и смесей/лаборант,No skills listed
119269923,Контролер ОКК/ОТК,No skills listed
118798416,Лаборант-микробиолог,No skills listed
118646423,"Конструктор одежды, удаленно",No skills listed
119863917,Лаборант на пищевое производство,No skills listed
119925057,Акушерка (акушер),No skills listed
116513438,Лаборант химического анализа 3 разряда,No skills listed
119582136,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
120288967,Лаборант на бетонный завод,No skills listed
108046322,Лаборант физико-химического анализа,No skills listed
119157683,"Химик-техник (начинающий специалист, лаборант)",No skills listed
119491485,Лаборант контроля качества,No skills listed
116095784,Лаборант (клинико-диагностическая лаборатория),No skills listed
120116143,Инженер-лаборант,No skills listed
120269722,Лаборант,No skills listed
119778168,Техник-лаборант,No skills listed
120237326,Медицинский лабораторный техник (фельдшер-лаборант),No skills listed
120264443,Инженер-лаборант,No skills listed
119430147,Санитар,No skills listed
119575009,Инженер-лаборант в строительную лабораторию,No skills listed
119859463,Эколог/лаборант,No skills listed
119337242,Лаборант аналитической лаборатории,No skills listed
119596410,Лаборант,No skills listed
120247439,Рентген-лаборант,No skills listed
120080205,Лаборант химического анализа 5 разряда,No skills listed
119743370,Лаборант химического анализа 5 разряда,No skills listed
120123171,Помощник лаборанта,No skills listed
120356965,Лаборант по химико-аналитическим испытаниям,No skills listed
119391278,Лаборант,No skills listed
119427506,Лаборант,No skills listed
119973342,Лаборант,No skills listed
119165446,Специалист-лаборант,No skills listed
119591010,Лаборант,No skills listed
119588569,Медицинский лабораторный техник (фельдшер-лаборант) (КДЛ № 1),No skills listed
118887216,Лаборант молочного производства,No skills listed
120252771,Лаборант испытательной строительной лаборатории,No skills listed
109627355,Лаборант (производство ПЦР тест-систем),No skills listed
120101969,Инженер-лаборант,No skills listed
119750947,Лаборант по физико-механическим испытаниям,No skills listed
119799004,Врач клинической лабораторной диагностики,No skills listed
120107171,Рентген-лаборант,No skills listed
120222170,Портной в Модный дом YANA,No skills listed
119694885,Лаборант в испытательную лабораторию,No skills listed
119863844,Инженер-лаборант,No skills listed
119674058,Контролер ОТК/ Лаборант,No skills listed
118346596,Лаборант,No skills listed
120102327,Уборщица / Уборщик лабораторных (производственных) помещений/ лаборант,No skills listed
119341001,Инженер-лаборант,No skills listed
119616473,Фельдшер-лаборант/медицинский лаборант,No skills listed
120306807,Рентген-лаборант(Клинический Госпиталь на Яузе),No skills listed
119694840,Швея-лаборант,No skills listed
119556210,Лаборант-техник,No skills listed
119858842,Лаборант – исследователь,No skills listed
120166799,Лаборант пробирного анализа,No skills listed
120356935,Лаборант (вальцовщик),No skills listed
107348737,Лаборант участка механических испытаний,No skills listed
119804524,Лаборант химического анализа,No skills listed
120282534,Лаборант/Инженер-лаборант,No skills listed
114824941,Лаборант-микробиолог,No skills listed
