id,title,reason
119702971,Химик-лаборант,No skills listed
120204133,Технолог-кондитер (в г.Зарайск),No skills listed
120282847,Лаборант химического анализа,No skills listed
110606929,Лаборант,No skills listed
120283696,Рентген-лаборант,No skills listed
119504154,Инженер-лаборант дорожно-строительной лаборатории,No skills listed
118062728,Рентген-лаборант,No skills listed
119402082,Лаборант,No skills listed
119467038,Рентген-лаборант,No skills listed
118960056,Лаборант отделения ЭКО (м. китай-город),No skills listed
119790354,Лаборант химического анализа,No skills listed
116230094,"Лаборант (на отделении ""Сестринское дело"")",No skills listed
120285928,Медицинский лабораторный техник (Лаборант),No skills listed
120294126,Лаборант,No skills listed
113153902,Медицинский лабораторный техник (фельдшер-лаборант),No skills listed
119817985,Лаборант (судебно-гистологическое отделение),No skills listed
120287537,Лаборант зерновых и масличных культур,No skills listed
119472333,Лаборант,No skills listed
120225636,Рентген-лаборант кабинета МРТ (м. Нижегородская),No skills listed
120294133,Лаборант,No skills listed
120356935,Лаборант (вальцовщик),No skills listed
117862771,Технолог-лаборант по бетону,No skills listed
118742971,Рентген-лаборант,No skills listed
119951512,Лаборант КДЛ,No skills listed
119758098,Сборщик-лаборант,No skills listed
119929933,Рентген-лаборант,No skills listed
120218866,Лаборант-колеровщик ЛКМ,No skills listed
119532660,Лаборант по ФМИ,No skills listed
119706306,Инженер-лаборант,No skills listed
91881912,Медицинский лабораторный техник,No skills listed
118004302,Лаборант-микробиолог,No skills listed
119506754,Лаборант,No skills listed
119490058,Медицинская сестра/Медицинский брат/Рентген-лаборант,No skills listed
120223752,Техник-лаборант,No skills listed
119632325,Медицинский лабораторный техник / фельдшер-лаборант,No skills listed
119836706,Лаборант\Контроллер качества,No skills listed
117496078,Рентген-лаборант,No skills listed
118185453,Лаборант химического анализа,No skills listed
119229452,Техник-лаборант,No skills listed
118203255,Лаборант,No skills listed
120074682,Фельдшер-лаборант,No skills listed
120208871,Инженер-химик,No skills listed
119983531,Лаборант,No skills listed
117967568,Медицинский лаборант (фельдшер-лаборант),No skills listed
119503580,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
109276127,Лаборант химического анализа,No skills listed
120297235,Фельдшер-лаборант/медицинский лабораторный техник (г. Геленджик),No skills listed
119812567,Инженер-лаборант строительной лаборатории,No skills listed
118884158,Лаборант,No skills listed
119542581,Химик-лаборант (хроматографист),No skills listed
119603401,Лаборант ОКК,No skills listed
117631697,Лаборант химического анализа,No skills listed
119900544,Медицинский лабораторный техник (фельдшер-лаборант),No skills listed
119847839,Контролёр отдела контроля качества,No skills listed
116886069,Лабораторный техник /фельдшер-лаборант,No skills listed
118940445,Фельдшер-лаборант,No skills listed
